,name,latitude,longitude
22,North & South Spencer Residence Hall,"[36.069322, 36.069315, 36.069269, 36.069268, 36.069177, 36.069178, 36.068999, 36.068766, 36.068764, 36.06863, 36.068646, 36.068661, 36.068799, 36.068776, 36.068948, 36.068949, 36.06906, 36.069059, 36.069322]","[-79.808782, -79.808598, -79.808601, -79.808584, -79.808589, -79.808628, -79.808639, -79.808653, -79.808604, -79.808612, -79.809008, -79.809406, -79.809398, -79.808815, -79.808804, -79.808823, -79.808817, -79.808797, -79.808782]"
23,Spring Garden Apartments,"[36.065682, 36.065659, 36.065627, 36.065627, 36.065597, 36.065596, 36.065576, 36.065573, 36.065436, 36.065436, 36.065357, 36.065359, 36.065332, 36.065334, 36.065419, 36.065491, 36.065497, 36.065526, 36.065527, 36.065423, 36.065419, 36.065369, 36.065322, 36.065272, 36.06522, 36.065221, 36.065199, 36.065202, 36.06543, 36.065427, 36.065502, 36.065512, 36.065439, 36.065439, 36.065191, 36.065192, 36.065134, 36.065135, 36.065091, 36.065092, 36.065063, 36.065064, 36.065682]","[-79.81493, -79.813895, -79.813897, -79.813871, -79.813871, -79.813788, -79.813788, -79.813745, -79.813756, -79.813732, -79.813739, -79.813789, -79.813794, -79.813914, -79.81391, -79.813905, -79.814206, -79.81421, -79.814244, -79.81425, -79.814216, -79.814217, -79.814219, -79.814249, -79.814251, -79.814309, -79.814311, -79.814431, -79.814423, -79.814385, -79.814382, -79.814767, -79.814766, -79.814732, -79.814742, -79.814772, -79.814769, -79.814784, -79.814788, -79.814841, -79.81484, -79.814957, -79.81493]"
24,Stone Building,"[36.068786, 36.068776, 36.068571, 36.068568, 36.06861, 36.068603, 36.06867, 36.06865, 36.068505, 36.068419, 36.068446, 36.067894, 36.067904, 36.068139, 36.068532, 36.068786]","[-79.807765, -79.807578, -79.807595, -79.807539, -79.807535, -79.807417, -79.807411, -79.807074, -79.807086, -79.807093, -79.807603, -79.807649, -79.807839, -79.807819, -79.807787, -79.807765]"
25,1510 Walker Ave. Building,"[36.069483, 36.06947, 36.069488, 36.069528, 36.069524, 36.069469, 36.069465, 36.069457, 36.069442, 36.069452, 36.069447, 36.069435, 36.069296, 36.0693, 36.069261, 36.069262, 36.069207, 36.069207, 36.068898, 36.068897, 36.068802, 36.068801, 36.068733, 36.068751, 36.068759, 36.069483]","[-79.814803, -79.814442, -79.814444, -79.814442, -79.814369, -79.814364, -79.814319, -79.81432, -79.814053, -79.814055, -79.813972, -79.813972, -79.813986, -79.814061, -79.814061, -79.814088, -79.814092, -79.814147, -79.814148, -79.814183, -79.814185, -79.814145, -79.814141, -79.814649, -79.814852, -79.814803]"
26,Sullivan Science Building,"[36.070227, 36.070206, 36.069154, 36.069169, 36.069236, 36.069236, 36.070064, 36.070067, 36.070227]","[-79.806731, -79.806323, -79.806401, -79.806652, -79.806647, -79.806682, -79.806613, -79.806744, -79.806731]"
27,Taylor Theatre,"[36.067482, 36.067461, 36.067183, 36.067199, 36.067087, 36.067089, 36.067482]","[-79.806392, -79.805986, -79.805995, -79.806292, -79.806303, -79.806418, -79.806392]"
28,Walker Ave Parking Deck,"[36.068146, 36.068144, 36.068137, 36.068136, 36.068135, 36.068127, 36.068126, 36.067669, 36.067429, 36.067373, 36.067281, 36.067283, 36.067294, 36.067304, 36.067306, 36.068146]","[-79.812413, -79.812344, -79.812135, -79.812099, -79.812082, -79.811807, -79.811771, -79.81179, -79.811801, -79.811804, -79.811811, -79.81185, -79.812119, -79.812384, -79.812453, -79.812413]"
29,Weil-Winfield Residence Hall,"[36.07094, 36.071148, 36.07113, 36.071128, 36.071271, 36.071291, 36.071347, 36.071359, 36.070946, 36.070943, 36.07094]","[-79.811355, -79.811336, -79.81107, -79.811049, -79.811031, -79.811324, -79.811321, -79.811482, -79.811522, -79.81144, -79.811355]"
30,Weil-Winfield Residence Hall,"[36.071271, 36.071128, 36.071113, 36.070909, 36.070904, 36.070898, 36.071308, 36.071315, 36.071258, 36.071271]","[-79.811031, -79.811049, -79.810803, -79.810811, -79.81074, -79.810644, -79.81061, -79.810785, -79.810788, -79.811031]"
31,Gove Student Health Center,"[36.071813, 36.071782, 36.07166, 36.071668, 36.071555, 36.071557, 36.071522, 36.071509, 36.071531, 36.071621, 36.071624, 36.071704, 36.071702, 36.071813]","[-79.810145, -79.809452, -79.80946, -79.809634, -79.809642, -79.80968, -79.809683, -79.809684, -79.810166, -79.81016, -79.810208, -79.810203, -79.810153, -79.810145]"
32,UNCG Spartan Softball Stadium,"[36.070367, 36.070327, 36.070132, 36.070023, 36.069929, 36.06984, 36.069788, 36.069752, 36.069737, 36.069746, 36.070323, 36.070367]","[-79.814421, -79.813709, -79.81372, -79.813756, -79.813837, -79.813928, -79.814052, -79.814159, -79.814244, -79.814528, -79.814475, -79.814421]"
33,Hinshaw Residence Hall,"[36.069592, 36.069131, 36.069122, 36.069583, 36.069592]","[-79.811643, -79.811682, -79.811516, -79.811477, -79.811643]"
34,McNutt Building,"[36.065175, 36.065158, 36.064737, 36.064763, 36.065175]","[-79.809868, -79.809259, -79.809287, -79.8099, -79.809868]"
35,North Drive Child Care Center,"[36.069994, 36.069982, 36.069902, 36.069902, 36.069812, 36.069824, 36.069994]","[-79.807263, -79.806995, -79.807002, -79.806979, -79.806983, -79.80727, -79.807263]"
36,Ragsdale-Mendenhall Residence Hall,"[36.071346, 36.071337, 36.071074, 36.071067, 36.070749, 36.070759, 36.070966, 36.070975, 36.071346]","[-79.810181, -79.810025, -79.810045, -79.809895, -79.809923, -79.810085, -79.810076, -79.810214, -79.810181]"
37,Kaplan Center for Wellness,"[36.062507, 36.062491, 36.062543, 36.062574, 36.062583, 36.062493, 36.062454, 36.062416, 36.062401, 36.062436, 36.062058, 36.061262, 36.061276, 36.061415, 36.061416, 36.061171, 36.061166, 36.061096, 36.060996, 36.06103, 36.060954, 36.061109, 36.06109, 36.061146, 36.061255, 36.061298, 36.061643, 36.061646, 36.062295, 36.062292, 36.062507]","[-79.81286, -79.812551, -79.812547, -79.81228, -79.812201, -79.812157, -79.812139, -79.812256, -79.812251, -79.811975, -79.812, -79.812053, -79.812404, -79.812396, -79.812432, -79.812447, -79.812342, -79.812346, -79.812647, -79.812664, -79.812894, -79.812973, -79.81303, -79.813058, -79.813052, -79.812941, -79.812914, -79.812973, -79.812922, -79.812877, -79.81286]"
38,Tennis Courts,"[36.071319, 36.071302, 36.069279, 36.069297, 36.069806, 36.070822, 36.071319]","[-79.812077, -79.811727, -79.811879, -79.812232, -79.812194, -79.812114, -79.812077]"
